group	size	logsize	score
CHD1_CHD1	5719020	29.601742785809734	0.03598
CHD1_CEBPB	17061858	31.56204257688816	0.003564
CHD1_BHLHE40	9751618	30.75521735419102	0.01948
CHD1_CEBPB	11224836	30.978402862410608	0.00548
CHD1_ATF3	5709772	29.596755755315552	0.002548
CHD1_CHD1	6495003	29.950574787783015	0.049980000000000004
CHD1_CHD1	5296374	29.343818050057006	0.04142
CHD1_ATF3	6383994	29.907533335207805	0.0018780000000000001
CHD1_BHLHE40	9595962	30.72844225272287	0.014469999999999998
CHD1_CEBPB	4208611	27.92793667672814	0.002052
CHD1_CHD1	10441866	30.86600466272528	0.1168
CHD1_CHD1	20143076	31.77181102783937	0.2245
CHD1_ATF3	4607955	28.69129523826615	0.002421
CHD1_ATF3	5248618	29.310005606575437	0.00494
CHD1_ATF3	7287457	30.213507474663686	0.009598
CHD1_ATF3	9573191	30.724464498486384	0.03121
CHD1_CEBPB	10239713	30.834809569640388	0.008309
CHD1_CEBPB	4578617	28.65128193651004	0.0010279999999999998
CHD1_CEBPB	7998507	30.4020230803431	0.002843
CHD1_CEBPB	16902151	31.549871513204288	0.006645
CHD1_CEBPB	9331457	30.68123186891695	0.007954000000000001
CHD1_CEBPB	15616819	31.446118579890502	0.00783
CHD1_ATF3	4398247	28.362279361147042	0.0014349999999999999
CHD1_ATF3	4054426	27.344072561064284	0.0006476
CHD1_CEBPB	22860388	31.926143983541174	0.0053219999999999995
CHD1_BHLHE40	4424869	28.410554068343615	0.003703
CHD1_CHD1	4059633	27.370499199461868	0.005292
CHD1_BHLHE40	7300721	30.217369910076968	0.01288
CHD1_CHD1	5697044	29.589851192525884	0.07618
CHD1_CEBPB	9498609	30.71132423233938	0.009517
CHD1_CEBPB	35376492	32.43219517169112	0.0138
CHD1_BHLHE40	12119579	31.093059433178382	0.023819999999999997
CHD1_CEBPB	26874134	32.11779296723685	0.004964
CHD1_CEBPB	10097740	30.812304459129653	0.008612999999999999
CHD1_CHD1	11737934	31.045751607795147	0.06875
CHD1_CEBPB	43912321	32.67187070998852	0.0055780000000000005
CHD1_BHLHE40	14120548	31.309991640095042	0.02698
CHD1_CEBPB	18352213	31.655296348916643	0.008948999999999999
CHD1_ATF3	9244585	30.665227220767157	0.006392
CHD1_CHD1	14785584	31.372792478620347	0.06807
CHD1_CHD1	9996768	30.79598478852307	0.08248
CHD1_ATF3	13632807	31.261289210901325	0.0048189999999999995
CHD1_BHLHE40	26476010	32.10034249463405	0.032760000000000004
CHD1_CEBPB	4514835	28.558339140166563	0.0038420000000000004
JUND_CHD1	6328741	29.924981109349304	0.015359999999999999
JUND_CHD1	7339187	30.22848745559422	0.011359999999999999
JUND_BHLHE40	3824098	27.813303880357587	0.024909999999999998
JUND_EGR1	4958463	29.26936554604685	0.036680000000000004
JUND_ATF3	3832425	27.837160748626875	0.01602
JUND_ATF3	4074264	28.358730216652148	0.02578
JUND_ATF3	3824078	27.813245889676676	0.02792
JUND_JUND	6551189	30.000148542279316	0.07257999999999999
JUND_ELF1	7807734	30.34305269677256	0.04432
JUND_ELF1	6737312	30.058971287215847	0.03948
JUND_EGR1	5578675	29.61950986726435	0.03991
JUND_ELF1	5969521	29.790234545395833	0.08436
JUND_EGR1	7414598	30.247835685158382	0.03483
JUND_ATF3	5603292	29.6311669983336	0.06826
JUND_ATF3	5755067	29.700183817077708	0.0707
JUND_ELF1	5598701	29.629003259912004	0.06515
JUND_CEBPB	5711510	29.680859619269782	0.05811
JUND_JUND	8189191	30.427509870965544	0.1173
JUND_EGR1	3659537	27.164869252794347	0.01272
JUND_CEBPB	6928723	30.116059446478758	0.024059999999999998
JUND_CEBPB	3848215	27.880893400302973	0.0023309999999999997
JUND_EGR1	4246504	28.61294621227021	0.02469
JUND_JUND	5316279	29.485999023832658	0.053779999999999994
JUND_CEBPB	4854882	29.19677090892448	0.02369
JUND_JUND	7401973	30.244622462404976	0.03777
JUND_EGR1	4776823	29.13835521138684	0.03656
JUND_CEBPB	7714965	30.32138770425107	0.024980000000000002
JUND_ELF1	5600782	29.629984615416618	0.05396
JUND_JUND	4952199	29.26512199949323	0.05487
JUND_ELF1	4296138	28.675626740511923	0.03779
JUND_CEBPB	5887550	29.756764724950095	0.02194
JUND_CEBPB	7053126	30.151488247748667	0.034319999999999996
JUND_ATF3	3749854	27.570892434786018	0.01146
JUND_EGR1	4381383	28.774881496198567	0.026660000000000003
JUND_ELF1	3855521	27.900498872320668	0.0153
