"x.prod","x.sum","y"
30.0288398101905,6709518,0.6717
27.6136562349539,3194429,0.3051
27.6375131032231,3202756,0.2767
28.1590825712484,3444595,0.281
27.6135982442729,3194409,0.3365
29.4315193529299,4973623,0.3633
29.500536171674,5125398,0.5067
29.4812119738661,5081841,0.266
29.916411801075,6299054,0.2756
27.6812457548993,3218546,0.08524
28.9971232635208,4225213,0.1099
30.1217400588473,7085296,0.1577
29.5571170795464,5257881,0.2278
29.9518406023449,6423457,0.1718
27.3712447893823,3120185,0.1082
26.2810177464235,2940512,0.2295
30.6159802356785,9793015,0.1257
27.6796890304315,3217972,0.3859
28.9303295893281,4136328,0.6279
30.1399491849327,7163132,0.4416
28.5960210169237,3770664,0.6422
29.689993451175,5600128,0.2321
30.9507827511532,12554189,0.2768
29.7450264285733,5755744,0.4679
30.8062174298197,11247927,0.1415
29.7502494854731,5770963,0.2928
29.2982364395648,4708574,0.6142
31.2585362306432,16051412,0.1416
30.4517110079461,8741172,0.5364
30.6748965161657,10214390,0.2441
29.2932494090706,4699326,0.1584
29.6470684415381,5484557,0.6714
29.0403117038121,4285928,0.6624
29.6040269889629,5373548,0.111
30.424935906478,8585516,0.4365
27.6244303304832,3198165,0.3489
30.5624983164804,9431420,0.9239
31.4683046815945,19132630,0.7676
28.3877888920212,3597509,0.3318
29.0064992603305,4238172,0.3588
29.9100011284188,6277011,0.414
30.4209581522415,8562745,0.5551
30.5313032233955,9229267,0.3197
28.3477755902651,3568171,0.09965
30.0985167340982,6988061,0.1461
31.2463651669594,15891705,0.2214
30.377725522672,8321011,0.2692
31.1426122336456,14606373,0.2505
28.0587730149021,3387801,0.191
27.0405662148194,3043980,0.3466
31.6226376372963,21849942,0.1929
28.1070477220987,3414423,0.4133
27.066992853217,3049187,0.5193
29.9138635638321,6290275,0.4483
29.286344846281,4686598,0.6647
30.4078178860945,8488163,0.2825
32.1286888254462,34366046,0.4081
30.7895530869335,11109133,0.5535
31.8142866209919,25863688,0.2273
30.5087981128847,9087294,0.3326
30.7422452615502,10727488,0.6949
32.3683643637436,42901875,0.2188
31.0064852938501,13110102,0.6177
31.3517900026717,17341767,0.3256
30.3617208745222,8234139,0.2377
31.0692861323754,13775138,0.7408
30.4924784422782,8986322,0.7324
30.9577828646564,12622361,0.1899
31.7968361483891,25465564,0.6379
28.2548327939216,3504389,0.3693
30.0288398101905,6709518,0.6717
27.9171625811988,4204875,0.2383
27.9410194494681,4213202,0.1774
28.4625889174933,4455041,0.2191
27.9171045905179,4204855,0.2448
29.7350256991748,5984069,0.279
29.8040425179189,6135844,0.4487
29.784718320111,6092287,0.2422
30.2199181473199,7309500,0.2676
27.9847521011442,4228992,0.1186
29.3006296097657,5235659,0.134
30.4252464050923,8095742,0.1783
29.8606234257913,6268327,0.2268
30.2553469485899,7433903,0.1995
27.6747511356272,4130631,0.04758
26.5845240926684,3950958,0.06151
30.9194865819234,10803461,0.152
27.9831953766764,4228418,0.3155
29.2338359355731,5146774,0.5601
30.4434555311776,8173578,0.3734
28.8995273631687,4781110,0.6775
29.9934997974199,6610574,0.2473
31.2542890973981,13564635,0.2694
30.0485327748182,6766190,0.3853
31.1097237760646,12258373,0.1411
30.053755831718,6781409,0.261
29.6017427858097,5719020,0.5655
31.5620425768882,17061858,0.1515
30.755217354191,9751618,0.4142
30.9784028624106,11224836,0.2185
29.5967557553156,5709772,0.1842
29.950574787783,6495003,0.6032
29.343818050057,5296374,0.6086
29.9075333352078,6383994,0.1315
30.7284422527229,9595962,0.3665
27.9279366767281,4208611,0.2896
30.8660046627253,10441866,0.7451
31.7718110278394,20143076,0.9569
28.6912952382662,4607955,0.2436
29.3100056065754,5248618,0.2847
30.2135074746637,7287457,0.322
30.7244644984864,9573191,0.4956
30.8348095696404,10239713,0.2802
28.65128193651,4578617,0.1517
30.4020230803431,7998507,0.1546
31.5498715132043,16902151,0.2382
30.6812318689169,9331457,0.2779
31.4461185798905,15616819,0.263
28.362279361147,4398247,0.2105
27.3440725610643,4054426,0.2111
31.9261439835412,22860388,0.2054
28.4105540683436,4424869,0.32
27.3704991994619,4059633,0.4728
30.217369910077,7300721,0.3653
29.5898511925259,5697044,0.7001
30.7113242323394,9498609,0.3031
32.4321951716911,35376492,0.377
31.0930594331784,12119579,0.4455
32.1177929672369,26874134,0.1959
30.8123044591297,10097740,0.2859
31.0457516077951,11737934,0.6445
32.6718707099885,43912321,0.2219
31.309991640095,14120548,0.4693
31.6552963489166,18352213,0.2836
30.6652272207672,9244585,0.2478
31.3727924786203,14785584,0.6525
30.7959847885231,9996768,0.6769
31.2612892109013,13632807,0.1957
32.100342494634,26476010,0.5368
28.5583391401666,4514835,0.3119
29.9249811093493,6328741,0.4037
30.2284874555942,7339187,0.346
27.8133038803576,3824098,0.6571
29.2693655460468,4958463,0.583
27.8371607486269,3832425,0.578
28.3587302166521,4074264,0.6023
27.8132458896767,3824078,0.6777
30.0001485422793,6551189,0.6656
30.3430526967726,7807734,0.5677
30.0589712872158,6737312,0.5544
29.6195098672644,5578675,0.5756
29.7902345453958,5969521,0.7006
30.2478356851584,7414598,0.5269
29.6311669983336,5603292,0.67
29.7001838170777,5755067,0.6728
29.629003259912,5598701,0.6617
29.6808596192698,5711510,0.6386
30.4275098709655,8189191,0.7477
27.1648692527943,3659537,0.6192
30.1160594464788,6928723,0.4679
27.880893400303,3848215,0.2978
28.6129462122702,4246504,0.5702
29.4859990238327,5316279,0.6356
29.1967709089245,4854882,0.515
30.244622462405,7401973,0.5412
29.1383552113868,4776823,0.5921
30.3213877042511,7714965,0.4681
29.6299846154166,5600782,0.628
