"group","size","logsize","score","simple.x","simple.y","group.offset","complicated.x","complicated.y"
"CHD1_CHD1",6709518,30.0288398101905,130.4,22068.5,2.00794002367204,-361.402613122177,22068.5,0.564077006823513
"CHD1_BHLHE40",3194429,27.6136562349539,24.39,6988,0.753933892410899,-478.156564171125,6988,0.594586306884914
"CHD1_ATF3",3202756,27.6375131032231,19.12,7099,0.670395399624846,-517.403642857148,7099,0.807581155611659
"CHD1_ATF3",3444595,28.1590825712484,18.11,9610,0.655262007552919,-517.403642857148,9610,0.798409857684208
"CHD1_ATF3",3194409,27.6135982442729,31.48,6987,0.858381766341413,-517.403642857148,6987,0.965440326370151
"CHD1_ATF3",4973623,29.4315193529299,25.9,17555,0.7758974172721,-517.403642857148,17555,0.885077171281823
"CHD1_ATF3",5125398,29.500536171674,63.7,18058,1.2634233605584,-517.403642857148,18058,1.72574630228016
"CHD1_CEBPB",5081841,29.4812119738661,12.55,17938,0.564884696068619,-552.107663141124,17938,1.33027467792622
"CHD1_CEBPB",6299054,29.916411801075,12.38,21227,0.562566177707167,-552.107663141124,21227,1.32542259367242
"CHD1_CEBPB",3218546,27.6812457548993,2.858,7285,0.447865894304991,-552.107663141124,7285,1.07142966709641
"CHD1_CEBPB",4225213,28.9971232635208,3.375,14560,0.44977576472659,-552.107663141124,14560,1.08305342777972
"CHD1_CEBPB",7085296,30.1217400588473,4.66,22770,0.457979860177149,-552.107663141124,22770,1.1128959267144
"CHD1_CEBPB",5257881,29.5571170795464,9.137,18475,0.510505142461831,-552.107663141124,18475,1.22804583742572
"CHD1_CEBPB",6423457,29.9518406023449,5.383,21500,0.465480060975727,-552.107663141124,21500,1.1308968743257
"CHD1_ATF3",3120185,27.3712447893823,3.788,5982,0.4522666872621,-517.403642857148,5982,0.687354167518089
"CHD1_ATF3",2940512,26.2810177464235,15.21,2779,0.608223886156594,-517.403642857148,2779,0.773197822383386
"CHD1_CEBPB",9793015,30.6159802356785,3.331,26517,0.449618651421389,-552.107663141124,26517,1.08152531765562
"CHD1_BHLHE40",3217972,27.6796890304315,45.42,7274,1.04242680531063,-478.156564171125,7274,0.704335233682643
"CHD1_CHD1",4136328,28.9303295893281,153.3,14096.5,2.24143048900849,-361.402613122177,14096.5,0.646058040124174
"CHD1_BHLHE40",7163132,30.1399491849327,35.45,22941,0.911195381690119,-478.156564171125,22941,0.639847382657317
"CHD1_CHD1",3770664,28.5960210169237,184.4,12031.5,2.5323122284876,-361.402613122177,12031.5,0.918847549428692
"CHD1_CEBPB",5600128,29.689993451175,9.24,19435,0.512176172762107,-552.107663141124,19435,1.23124456066491
"CHD1_CEBPB",12554189,30.9507827511532,9.967,28943,0.523684328056314,-552.107663141124,28943,1.25223102246329
"CHD1_BHLHE40",5755744,29.7450264285733,46.84,19863,1.06131423681391,-478.156564171125,19863,0.713258865720928
"CHD1_CEBPB",11247927,30.8062174298197,3.721,27909,0.451676170936848,-552.107663141124,27909,1.09120157514529
"CHD1_CEBPB",5770963,29.7502494854731,14.55,19909,0.59786062462959,-552.107663141124,19909,1.38760031305049
"CHD1_CHD1",4708574,29.2982364395648,125.8,16592.5,1.9563637739227,-361.402613122177,16592.5,0.553214793301038
