"x.prod","x.sum","y"
30.0288398101905,6709518,130.4
27.6136562349539,3194429,24.39
27.6375131032231,3202756,19.12
28.1590825712484,3444595,18.11
27.6135982442729,3194409,31.48
29.4315193529299,4973623,25.9
29.500536171674,5125398,63.7
29.4812119738661,5081841,12.55
29.916411801075,6299054,12.38
27.6812457548993,3218546,2.858
28.9971232635208,4225213,3.375
30.1217400588473,7085296,4.66
29.5571170795464,5257881,9.137
29.9518406023449,6423457,5.383
27.3712447893823,3120185,3.788
26.2810177464235,2940512,15.21
30.6159802356785,9793015,3.331
27.6796890304315,3217972,45.42
28.9303295893281,4136328,153.3
30.1399491849327,7163132,35.45
28.5960210169237,3770664,184.4
29.689993451175,5600128,9.24
30.9507827511532,12554189,9.967
29.7450264285733,5755744,46.84
30.8062174298197,11247927,3.721
29.7502494854731,5770963,14.55
29.2982364395648,4708574,125.8
31.2585362306432,16051412,3.512
30.4517110079461,8741172,54.76
30.6748965161657,10214390,8.41
29.2932494090706,4699326,5.214
29.6470684415381,5484557,151.1
29.0403117038121,4285928,178.6
29.6040269889629,5373548,3.23
30.424935906478,8585516,31.49
27.6244303304832,3198165,34.62
30.5624983164804,9431420,339.8
31.4683046815945,19132630,99.32
28.3877888920212,3597509,25.99
29.0064992603305,4238172,27.75
29.9100011284188,6277011,31.96
30.4209581522415,8562745,61.21
30.5313032233955,9229267,14.69
28.3477755902651,3568171,3.199
30.0985167340982,6988061,4.227
31.2463651669594,15891705,6.381
30.377725522672,8321011,10.72
31.1426122336456,14606373,7.979
28.0587730149021,3387801,8.277
27.0405662148194,3043980,38.09
31.6226376372963,21849942,4.858
28.1070477220987,3414423,50.4
27.066992853217,3049187,132.2
29.9138635638321,6290275,39.52
29.286344846281,4686598,166.2
30.4078178860945,8488163,11.72
32.1286888254462,34366046,15.12
30.7895530869335,11109133,52.71
31.8142866209919,25863688,5.906
30.5087981128847,9087294,16.09
30.7422452615502,10727488,107
32.3683643637436,42901875,4.956
31.0064852938501,13110102,66
31.3517900026717,17341767,12.31
30.3617208745222,8234139,8.533
31.0692861323754,13775138,111.6
30.4924784422782,8986322,143.5
30.9577828646564,12622361,5.34
31.7968361483891,25465564,49.26
28.2548327939216,3504389,35.46
30.0288398101905,6709518,130.4
27.9171625811988,4204875,12.79
27.9410194494681,4213202,7.271
28.4625889174933,4455041,9.978
27.9171045905179,4204855,13.55
29.7350256991748,5984069,13.13
29.8040425179189,6135844,40.73
29.784718320111,6092287,9.813
30.2199181473199,7309500,10.99
27.9847521011442,4228992,3.998
29.3006296097657,5235659,4.13
30.4252464050923,8095742,5.324
29.8606234257913,6268327,8.583
30.2553469485899,7433903,6.481
27.6747511356272,4130631,1.824
26.5845240926684,3950958,2.26
30.9194865819234,10803461,4.018
27.9831953766764,4228418,24.15
29.2338359355731,5146774,92.49
30.4434555311776,8173578,21.47
28.8995273631687,4781110,194
29.9934997974199,6610574,9.843
31.2542890973981,13564635,8.985
30.0485327748182,6766190,25.63
31.1097237760646,12258373,3.592
30.053755831718,6781409,10.79
29.6017427858097,5719020,85.48
31.5620425768882,17061858,3.672
30.755217354191,9751618,25.3
30.9784028624106,11224836,6.646
29.5967557553156,5709772,6.276
29.950574787783,6495003,93.87
29.343818050057,5296374,117.3
29.9075333352078,6383994,3.794
30.7284422527229,9595962,19.09
27.9279366767281,4208611,19.78
30.8660046627253,10441866,132.7
31.7718110278394,20143076,181.4
28.6912952382662,4607955,11.9
29.3100056065754,5248618,14.87
30.2135074746637,7287457,16.17
30.7244644984864,9573191,40.58
30.8348095696404,10239713,10.58
28.65128193651,4578617,5.236
30.4020230803431,7998507,4.384
31.5498715132043,16902151,6.844
30.6812318689169,9331457,10.77
31.4461185798905,15616819,8.257
28.362279361147,4398247,9.37
27.3440725610643,4054426,10.8
31.9261439835412,22860388,5.096
28.4105540683436,4424869,23.12
27.3704991994619,4059633,85.63
30.217369910077,7300721,21.58
29.5898511925259,5697044,175.6
30.7113242323394,9498609,12.71
32.4321951716911,35376492,12.22
31.0930594331784,12119579,27.32
32.1177929672369,26874134,4.615
30.8123044591297,10097740,11.06
31.0457516077951,11737934,76.68
32.6718707099885,43912321,4.866
31.309991640095,14120548,28.92
31.6552963489166,18352213,8.987
30.6652272207672,9244585,8.724
31.3727924786203,14785584,69
30.7959847885231,9996768,99.31
31.2612892109013,13632807,5.352
32.100342494634,26476010,29.71
28.5583391401666,4514835,21.11
29.9249811093493,6328741,29.82
30.2284874555942,7339187,18.95
27.8133038803576,3824098,239.2
29.2693655460468,4958463,105.3
27.8371607486269,3832425,151.8
28.3587302166521,4074264,152.7
27.8132458896767,3824078,267.3
30.0001485422793,6551189,128.1
30.3430526967726,7807734,67.94
30.0589712872158,6737312,69.71
29.6195098672644,5578675,90.52
29.7902345453958,5969521,165.5
30.2478356851584,7414598,56.28
29.6311669983336,5603292,149.6
29.7001838170777,5755067,148.2
29.629003259912,5598701,143.4
29.6808596192698,5711510,124.7
30.4275098709655,8189191,162
27.1648692527943,3659537,226.2
30.1160594464788,6928723,41.89
27.880893400303,3848215,21.53
28.6129462122702,4246504,118.4
29.4859990238327,5316279,131.1
29.1967709089245,4854882,72.5
30.244622462405,7401973,60.95
29.1383552113868,4776823,115.3
30.3213877042511,7714965,39.4
29.6299846154166,5600782,120
29.2651219994932,4952199,155.2
28.6756267405119,4296138,170
29.7567647249501,5887550,46.58
30.1514882477487,7053126,58.12
27.570892434786,3749854,139.3
28.7748814961986,4381383,111.9
27.9004988723207,3855521,137.1
28.9543812649626,4558768,71.22
26.4806653918272,3570181,206.6
30.8751905370639,10848821,60.58
31.0426960724031,12192684,45.47
31.1777492917125,13452633,46.12
30.8743521501926,10842645,63.93
30.8156278810822,10422684,27.41
27.8793366758352,3847641,151
28.7801481573508,4386147,134.2
29.1299772347319,4765997,64.44
30.3395968303365,7792801,64.56
28.7956686623275,4400333,54.44
29.8896410965787,6229797,34
29.7796694208629,5943349,133.4
31.150430396557,13183858,43.62
30.1068439482712,6897080,108.4
29.944674073977,6385413,165.5
31.0058650752234,11877596,34.35
30.709854246681,9725755,113.9
29.9498971308768,6400632,113
29.4978840849685,5338243,68.66
31.458183876047,16681081,19.98
30.9790777474066,11655612,93.65
30.6513586533498,9370841,77.61
30.8745441615694,10844059,26.63
30.1922255250005,7201724,94.23
30.6108469800415,9136931,66.91
27.9331527328981,3868012,31.75
27.0949201474562,3647354,106.6
29.676265929334,5701279,117.3
29.0053805082682,4615253,163.7
29.3993008429555,5163717,268.9
29.4928970544744,5328995,123.9
29.8467160869418,6114226,105.9
29.2399593492158,4915597,92.87
29.8036746343666,6003217,110.1
30.6245835518817,9215185,40.28
27.824077975887,3827834,103.6
30.7621459618841,10061089,35.47
31.6679523269982,19762299,20.07
31.2800698257315,14527155,256.9
29.5404474423556,5419078,115.8
28.587436537425,4227178,140
29.2061469057342,4867841,128.4
30.523973490258,8666169,132.9
31.8375820432497,22772490,52.93
30.3202715793206,7710240,103.9
31.2151651123148,13832866,124
31.2252024980758,13937313,70.25
30.1096487738225,6906680,147.8
30.6206057976452,9192414,114.8
30.5684770535918,8902221,116.4
30.7309508687992,9858936,110.6
31.051709462739,12271577,135.1
27.981893048594,3887432,202.5
28.5474232356688,4197840,21.92
29.920394070388,6315700,104.5
30.6983069349024,9654039,83.8
30.2981643795019,7617730,60.22
31.4242524326659,16240637,39.02
29.9914056362742,6524448,108.7
31.4460128123631,16521374,35.42
31.0550237738266,12300766,90.6
29.7294316421589,5822614,145.1
30.5773731680758,8950680,44.12
31.3422598790493,15236042,45.97
28.2584206603059,4017470,135.6
29.6671755330134,5681171,109.3
28.9334469472974,4536403,146.3
29.5665719493512,5470424,55.44
31.9370311322992,24789839,49.65
30.2962977227415,7610012,104.9
27.2402138602231,3673649,216.2
31.6968095291463,20239029,42.1
31.6909294452243,20140769,37.07
31.8497096016868,23007895,35.4
31.7675752779763,21468023,42.62
31.8222852827,22479611,25.26
28.3066953675024,4044092,159.8
28.9653668382433,4570693,115.4
27.2666404986207,3678856,153.2
30.1135112092358,6919944,77.95
29.4859924916847,5316267,52.57
30.6074655314982,9117832,32.88
30.5458784882331,8781043,103.7
32.3283364708499,34995715,36.63
31.4761668867759,16920638,53.43
30.9892007323372,11738802,135.7
32.0139342663957,26493357,34.17
31.7645885249531,21414375,76.36
30.7084457582885,9716963,102.6
30.941892906954,11357157,59.76
32.5680120091473,43531544,17.73
31.876245492221,23533043,68.94
31.2061329392538,13739771,79.44
31.5514376480755,17971436,26.14
30.8864655881262,10932384,71.21
31.9297949045594,24636187,33.11
28.8298230603898,4432337,21
27.9721476807262,3883473,107.4
30.7533463411742,10003425,66.55
30.6696324034169,9479493,192.1
30.561368519926,8863808,83.9
31.2689337777792,14404807,72.82
30.6921260876819,9615991,74.34
28.2711783346692,4024381,153.1
31.1574305100601,13252030,66.96
31.9964837937929,26095233,39.27
28.4544804393254,4134058,100.5
29.4089107287733,5179983,125.1
25.5258358742314,698113,696.2
26.0474053422567,939952,456.8
25.5019210152812,689766,977.5
27.3198421239382,2468980,201.9
27.3888589426823,2620755,142.2
25.2595675603906,615542,64.02
24.1693405174318,435869,727
25.5680118014398,713329,1660
28.028271955941,4658489,176
27.6333491995816,3251101,498
28.3400337789544,6236529,152.2
27.1815721800789,2194683,114.9
27.4923497599712,2868905,104.9
28.3132586774862,6080873,101
26.2761116630295,1092866,547.6
26.8948220313388,1733529,352.8
27.7983238994271,3772368,212.3
28.3092809232498,6058102,113.2
25.9470957859104,883158,59.65
24.9288889858277,539337,744.5
25.995370493107,909780,1536
