"x.prod","x.sum","y"
981,519,37979
2244.5,1211.5,38303.5
7823.5,8745.5,36758.5
12503.5,20533.5,36805
13844.5,23595.5,32285.5
10068,14017,25747.5
13554,22913,23881
19397.5,34456.5,21575.5
3353,6342,10181.5
4139,9363,9185
3858,8134,26695
693,392,33705
2033,2645,27486.5
1614.5,1898.5,34668.5
701,411,35901
1008,837,33823.5
692,390,36108
3525,6946,23199.5
1085.5,956.5,37912.5
4466,10801,22337
3675,7457,24616
2652,4133,26664
3012,5255,31565
4186,9602,17925.5
2674,4202,31688
2822,4623,36007
2669,4186,35900
2783,4486,20834
4734,11907,28468.5
471,158,37597
3830,8036,25251.5
724,444,28611
1220,1162,23278.5
2410,3503,20467
1915,2432,24647.5
4177,9565,14315.5
1841,2262,22653
4402,10538,15913.5
2671,4191,31281
2026,2632,21166.5
1275,1261,35729.5
2942,5013,27995.5
3930,8459,25893
588,270,37622
1385,1435,23811
733,454,33548.5
1574,1829,25828
352,73,37674
6402,18390,10839
7140,20921,7044
7709,22855,7768
6397,18374,10775
6169,17499,7837
721,440,34971.5
1391,1449.5,23321
1316,1338,15909
1831,2247,11633.5
4454,10745,18193
2034,2647,20380.5
1415,1479,17080
3261,6036,21936.5
2992,5167,16381
3118,5576,22074
7574,22486,11900
3808,7935,13098.5
3402,6506,24029.5
5457,14504,1907.5
6850,19995,2377
6964,20365,3666.5
5758,15753,8307
311.5,49.5,30960.5
3414,6543,27508
2429,3546,20500.5
5953,16605,3902.5
9084,27186,2381
6841,19964,18043.5
5529,14793,19861.5
4550,11095,16619.5
6398,18377,9798.5
4044,8936,5905
5380,14138,9071
749,473,3524.5
457,137,37254
2773,4459,20173
1644,1947,32767
1214.5,1150.5,34924
2256,3121,35817.5
2424,3532,30817
3160,5688,22046.5
1983,2546,27475.5
3050,5371,25142
5431,14364,16205
9096,27215,1494
2987,5154,6113
696,402,32983
1595.5,1867.5,36555.5
5957,16623,13332.5
10166,30208,12071.5
8221,24404,24937.5
301.5,38.5,38549.5
2510,3748,30478
8198.5,24304.5,28394
2075.5,2751.5,36528.5
1202,1131,36069.5
1933,2463,32789
5085,13040,29426
2094.5,2786.5,37917.5
11135,32266,18392.5
4399,10519,26587.5
7915,23407,28744
7959,23567,20847.5
3814,7973,36075.5
5417,14295,36145.5
5236,13574,35727.5
5817,16095,22565
7160,21064,30144.5
774,500,37105.5
1163,1067,33482
3338,6305,24062.5
5714,15556,20683.5
4326,10223,23512
8921,26664,13088.5
3505,6875,22945
9019,26984,15266.5
7174,21128,27876.5
2886,4796,34804.5
5264,13695,28660
8516,25385,25192.5
932,742,38106
2752,4396,25118
1553,1781,34497
2559,3848,25053.5
11721,33577,14019
4324,10208,8437.5
484,175,37805
10317,30585,10258
10294,30501,6992
11214,32408,7128.5
10709,31395,10605.5
11037,32079,11372
963,785,35574.5
1586,1859,21012
626,299,2324
494,181,29678
3824,8016,22854
3711,7595,31088
2409,3502,21510
5374,14081,25344.5
5156,13313,20391
4184,9597,22184
14100,36835,13337.5
9171,27507,14730.5
6888,20113,22326.5
8405,24984,4705
10794,31569,4028.5
12152,34550,5266.5
10691,31362,9309
336.5,61.5,26283
5746,15728,30668.5
6677,19411,22471
11567,33220,6054.5
15674,37988,5705
11368,32798,20051
7846,23266,22487.5
4946,12580,18485.5
9584,28774,13715.5
6455,18565,9048.5
11681,33480,6490.5
1447,1550,2169
766,493,37070
5924,16466,17415
3078.5,5451.5,33739.5
5599,15094,32724.5
5208,13479,30478
8180,24239,21487.5
5692,15454,27708.5
938,759,30737
7614,22588,23953
12048,34329,15973.5
14262,36976,4705
4125,9275,8295.5
1087,959,32800.5
4178.5,9570.5,34439
2268,3159,31770.5
15021,10455,15921
17143,13128,18674.5
4504,3178,29734
4589,3203,32698.5
6504,3782,34028.5
4503,3177,34117
13040.5,8081.5,36658.5
17297.5,13305.5,33899
13112,8167,26777
13546,8652,30162.5
13413,8532,14379.5
2837.5,2796.5,37766.5
16328,12170,9301.5
4722,3235,6299
7599.5,4222.5,37538.5
10561,6009,4718
10237.5,5781.5,37407.5
17802,13988,4091
13898,9074,12387.5
16571,12488,7953.5
3822,3014,5900.5
8407.5,4575.5,37563.5
1671,2588,33048
21547,20205,1242.5
4716,3234,32896.5
10190,5741,25338
17959,14187,25343
8497,4651,24958.5
14802,10158,14409
24112,24441,10101
15160,10633,28939.5
23024,22570,1624
15192,10685,17148
12309,7357,22900
26403,28843,1145.5
20278,18163,25308
21980,20959,5639
12284,7338,9667
14522,9799,29579
10801,6184,30052.5
14212,9456,5339.5
20057,17839,19136.5
4552,3190,24357
21157,19545,16628
