"x.prod","x.sum","y"
5274,4058,14569.5
6473,6045,14124.5
10386.5,14997.5,14405.5
2763,1589,29109
4310,2968,26069.5
7805,8703,21677
10367,14931,15500.5
2148,1161,7339
981,519,25476.5
2244.5,1211.5,36451.5
7823.5,8745.5,26622
12503.5,20533.5,27359
13844.5,23595.5,18996
10068,14017,13133.5
13554,22913,12161
19397.5,34456.5,10867.5
3353,6342,1658
4139,9363,1516
3858,8134,6522
693,392,8739
2033,2645,6592.5
1614.5,1898.5,11048
701,411,11173
1008,837,9620.5
692,390,11486
3525,6946,5131
1085.5,956.5,21574.5
4466,10801,4882
3675,7457,5679.5
2652,4133,6386
3012,5255,8811
4186,9602,3487
2674,4202,8851.5
2822,4623,13201
2669,4186,12990
2783,4486,4258
4734,11907,7308
471,158,15073
3830,8036,5924
724,444,6062
1220,1162,4718
2410,3503,4109
1915,2432,5450
4177,9565,2526.5
1841,2262,4753
4402,10538,2947
2671,4191,8605
2026,2632,4264
1275,1261,12074
2942,5013,6974
3930,8459,6170.5
588,270,16633.5
1385,1435,4982
733,454,8741.5
1574,1829,5800
352,73,12640.5
6402,18390,1820
7140,20921,1191
7709,22855,1312
6397,18374,1813
6169,17499,1316.5
721,440,10056.5
1391,1449.5,4817.5
1316,1338,2640
1831,2247,1841
4454,10745,3563.5
2034,2647,4027
1415,1479,2960.5
3261,6036,4697
2992,5167,3015
3118,5576,4733.5
7574,22486,2039
3808,7935,2226
3402,6506,5406
5457,14504,537
6850,19995,599
6964,20365,727
5758,15753,1393
311.5,49.5,3378
3414,6543,6798
2429,3546,4123.5
5953,16605,753
9084,27186,605
6841,19964,3563.5
5529,14793,4087
4550,11095,3158
6398,18377,1645
4044,8936,1001
5380,14138,1512.5
749,473,584
457,137,12993.5
2773,4459,4058
1644,1947,9290.5
1214.5,1150.5,10952
2256,3121,12739
2424,3532,8297
3160,5688,4722.5
1983,2546,6581.5
3050,5371,5826
5431,14364,3051
9096,27215,485
2987,5154,1014
696,402,8246
1595.5,1867.5,14166.5
5957,16623,2317.5
