"x.prod","x.sum","y"
10386.5,14997.5,22605
2763,1589,31284.5
4310,2968,29576
7805,8703,28707
10367,14931,23973.5
2148,1161,9340
981,519,29249
2244.5,1211.5,37026
7823.5,8745.5,33480.5
12503.5,20533.5,37747.5
13844.5,23595.5,32646.5
10068,14017,20665
13554,22913,22331.5
19397.5,34456.5,26408
3353,6342,4436.5
4139,9363,4351
3858,8134,16893
693,392,15070
2033,2645,14343.5
1614.5,1898.5,19988.5
701,411,17956.5
1008,837,16713.5
692,390,18301
3525,6946,13713
1085.5,956.5,29271.5
4466,10801,14356
3675,7457,15003
2652,4133,14931.5
3012,5255,19643.5
4186,9602,10527
2674,4202,19104
2822,4623,25561.5
2669,4186,24893.5
2783,4486,10838.5
4734,11907,19835
471,158,21641.5
3830,8036,15727
724,444,11329
1220,1162,9672
2410,3503,10017.5
1915,2432,12146.5
4177,9565,7835.5
1841,2262,10611
4402,10538,9264.5
2671,4191,18663
2026,2632,9885.5
1275,1261,20372.5
2942,5013,16397
3930,8459,16341
588,270,23112
1385,1435,10427
733,454,15131.5
1574,1829,12234.5
352,73,20237.5
6402,18390,6918.5
7140,20921,4380.5
7709,22855,5220
6397,18374,6863.5
6169,17499,4514
721,440,16672.5
1391,1449.5,10107
1316,1338,5598
1831,2247,4076
4454,10745,11038.5
2034,2647,9399.5
1415,1479,6370.5
3261,6036,12360.5
2992,5167,8064
3118,5576,12269.5
7574,22486,8732.5
3808,7935,6584.5
3402,6506,14143
5457,14504,995.5
6850,19995,1378.5
6964,20365,2091
5758,15753,4663
311.5,49.5,9203.5
3414,6543,16766.5
2429,3546,10075
5953,16605,2031.5
9084,27186,1653.5
6841,19964,13420
5529,14793,13549
4550,11095,9936
6398,18377,6089.5
4044,8936,2548
5380,14138,4955
749,473,841
457,137,19812
2773,4459,10347
1644,1947,17725
1214.5,1150.5,18869
2256,3121,23598.5
2424,3532,17687
3160,5688,12293.5
1983,2546,14244.5
3050,5371,14463
5431,14364,10481
9096,27215,1073
2987,5154,2295.5
696,402,14422.5
1595.5,1867.5,23623
5957,16623,8579.5
10166,30208,11001.5
8221,24404,21659
301.5,38.5,37787.5
2510,3748,17589.5
8198.5,24304.5,25380.5
2075.5,2751.5,25000.5
1202,1131,20743
1933,2463,18499.5
5085,13040,21256
2094.5,2786.5,33467.5
11135,32266,18646.5
4399,10519,17679.5
7915,23407,25299
7959,23567,17118
3814,7973,28386.5
5417,14295,32466
5236,13574,30920
5817,16095,16186.5
7160,21064,25623.5
774,500,21814.5
1163,1067,16872
3338,6305,14088
5714,15556,14413
4326,10223,15090.5
8921,26664,10845.5
3505,6875,13466
9019,26984,13084.5
7174,21128,23156.5
2886,4796,23506
5264,13695,20843
8516,25385,22427.5
932,742,31895.5
2752,4396,13994
1553,1781,19528.5
2559,3848,13594
11721,33577,14484
4324,10208,4011
484,175,23310
10317,30585,9264.5
10294,30501,5895.5
11214,32408,6533
10709,31395,9875.5
11037,32079,11011.5
963,785,18818.5
1586,1859,9053.5
626,299,592.5
494,181,10693
3824,8016,13835
3711,7595,20466
2409,3502,10754
5374,14081,18032.5
5156,13313,13531.5
4184,9597,13859
14100,36835,16272
9171,27507,12692.5
6888,20113,17276.5
8405,24984,3087
10794,31569,3278
12152,34550,4991.5
10691,31362,8560
336.5,61.5,7188.5
5746,15728,23686.5
6677,19411,17152.5
11567,33220,5562
15674,37988,7651.5
11368,32798,20777
7846,23266,18700.5
4946,12580,11805
9584,28774,12076.5
6455,18565,5546
11681,33480,6111.5
1447,1550,687
766,493,21667.5
5924,16466,11949
3078.5,5451.5,22272.5
5599,15094,26018
5208,13479,22558
8180,24239,18058.5
5692,15454,20635.5
938,759,13736
7614,22588,19823.5
12048,34329,17060.5
14262,36976,5352.5
4125,9275,3829
1087,959,15985
4178.5,9570.5,25817.5
2268,3159,18280.5
15021,10455,13268.5
17143,13128,16747
4504,3178,18561
4589,3203,21467.5
6504,3782,24739
4503,3177,23209
13040.5,8081.5,34840
17297.5,13305.5,32742.5
13112,8167,21828
13546,8652,25335.5
13413,8532,11162
2837.5,2796.5,32752
16328,12170,7731.5
4722,3235,2609
7599.5,4222.5,35018.5
10561,6009,2673.5
10237.5,5781.5,35834.5
17802,13988,3312.5
13898,9074,9596.5
16571,12488,6540
3822,3014,2256
8407.5,4575.5,35525
1671,2588,18451.5
21547,20205,1192.5
4716,3234,21791.5
10190,5741,18759.5
17959,14187,23623
8497,4651,17389
14802,10158,11820.5
24112,24441,11737
15160,10633,25199
23024,22570,1662
15192,10685,14433.5
12309,7357,17886
26403,28843,1382.5
20278,18163,25144.5
21980,20959,5758.5
12284,7338,6682
14522,9799,25391.5
10801,6184,23378.5
14212,9456,3660.5
20057,17839,18796
4552,3190,14413
21157,19545,16970.5
27965,31216,21845.5
12545.5,7584.5,38190
7486,4165,23235.5
10608,6039,26113
17791.5,13971.5,36642.5
24718.5,25474.5,36119.5
16282,12117,25514
20027,17789,27159.5
20907,19153,16327.5
5087.5,3329.5,32804
7331,4069,3998
14989.5,10410.5,35736.5
17635,13751,3762
15459.5,11045.5,36706.5
26313,28667,6767
19702,17254,13268.5
25539,27073,9693
6103,3639,3855.5
13343.5,8418.5,36028
2999,2827,21895.5
29042,33011,3205.5
6286,3711,23616
3064,2843,22495.5
16310,12150,25152
12236,7306,19404
19924,17618,15197
32306,37113,18692.5
22892,22375,29151
30305,35193,4561.5
20731,18882,15922
22509,21843,23235.5
33541,38125,3963
24556,25209,29531
27122,29916,8682
19564,17054,8268.5
25007,26059,29222.5
20596,18666,26708.5
24166,24541,5329
30186,35043,26435
6924,3911,17306
13141,9292,17376
15126,12267,12280.5
14448,11241,31962.5
3695,2344,23574.5
1614.5,1898.5,19988.5
9421,5198,28695.5
3772,2354,27924
5386,2894,28217
3694,2343,30730
13622,9995,31945
5744.5,3045.5,32159.5
15901,13358,27027
14009,10578,23336
11352,6992,29385.5
12329,8147,30463
15239,12470,24437.5
11435,7062,27276.5
11806,7487,34140.5
11418,7049,32897.5
11706,7367,19133.5
16478,14254,35138
2290,2016,31284.5
14405,11141,11981.5
3888,2394,1297.5
6358,3302,26330
10566,6281,15003
9046,4878,11847.5
15225,12433,10989
8752,4674,29697
15743,13138,11778.5
11428,7054,30463
9409,5175,22803.5
6628,3426,28849
12132,7881,15011.5
14634,11501,19291
3103,2198,12774.5
7074,3625,27231
3939,2419,23897.5
7863,4035,14122
1340,1841,29036
19763,20313,15301.5
21094,22488,9469.5
22105,24297,11114.5
19756,20304,14902
19318,19528,11434
3883,2392,28043.5
7095,3633,26026
6796,3515,6643.5
8715,4638,22571
15871,13321,26512
9424,5200,7808
7157,3662,18139.5
12924,9002,13830
12273,8066,27169
12557,8497,18997
21882,23915,21057
14340,11051,16523
13270,9495,30408
18011,17137,4744
20601,21745,3666.5
20800,22051,7952
18533,18136,15951.5
928.5,1762.5,33243.5
13294,9546,22272.5
10630,6344,23983
18926,18814,5271
24268,28443,7820
20584,21726,28476.5
18107,17365,29076.5
16048,13549,17855
19758,20306,11659
14887,11921,15922
17811,16787,14868
4031,2442,366
2155,1993,18165
11688,7344,17994
8131,4214,19420.5
6321.5,3286.5,32288
10096,5827,30574.5
10597,6320,15197
12658,8622,32092
9274,5067,29012
12400,8262,11989.5
17936,16996,21986.5
24287,28464,3296
12260,8051,1746.5
3729,2347,20552
7945.5,4091.5,31703
18937,18823,22812
25801,30996,19316.5
22915,25753,35306.5
778.5,1726.5,20905
10880,6566,31707
22851.5,25646.5,32125
9605.5,5351.5,38120.5
6260,3261,29547.5
9094,4924,29676
17188,15572,35335
9645.5,5395.5,33377.5
27107,32956,34578.5
15732,13131,34245.5
22404,24835,34904
22476,24979,33935
14365,11082,32192
17894,16936,36007
17514,16184,35300
18681,18399,23963.5
21170,22608,37256.5
4157,2486,32817
6105,3188,1800.5
13116,9252,30920
18460,17980,19061
15586,12907,15703
23998,27911,14748.5
13565,9923,33433
24170,28260,17340.5
21193,22638,34479
11985,7678,32498
17575,16314,19298
23391,26655,24528
5046,2762,15548
11637,7278,31177.5
7757,3992,29001.5
11029,6700,14715
27830,34164,26697
15574,12888,17467.5
2426,2045,31609
26036,31263,17246.5
25985,31221,12328
27199,33106,13061.5
26573,32066,17326.5
26983,32746,16909.5
5203,2828,29595
7934,4083,25427
3271,2236,2645
2478,2065,23150
14388,11126,28894.5
14095,10713,8910
10565,6280,21113.5
17778,16743,16590.5
17354,15874,30602
15236,12460,20954
30489,37033,29507.5
24422,28696,20079
20667,21867,34265
23189,26274,8206.5
26670,32217,5926
28388,35053,13624
26547,32027,21214.5
1191.5,1806.5,31000
18524,18118,25066
20297,21202,29890
27633,33848,10065.5
32007,38098,13873
27387,33424,33525
22322,24708,33908
16893,15004,15390
24967,29637,15508
19847,20456,20251
27789,34096,17467.5
7307,3760,367
4132,2479,21313.5
18860,18711,18738.5
12459.5,8338.5,34114.5
18239,17604,33769
17465,16087,17783
22809,25597,35052
18405,17903,33094.5
5093,2776,26580.5
21936,24021,16713.5
28259,34884,30982.5
30647,37173,11526
15091,12205,3116
5747,3048,22663
15226.5,12438.5,32986
10131,5869,29605
2387.5,1308.5,37576.5
1546.5,809.5,37659
5874.5,4852.5,35377.5
6145.5,5332.5,26910.5
1280.5,679.5,10552
