Pair	jaccard	forbes	tetra
MACS_ENCSR000BKJ_GM12891_YY1(TFsFromGheorghe)MACS_ENCSR177HDZ_HepG2_FOS (TFsFromGheorghe)	35103	26466	34056
BCP_ENCSR000BUQ_SK-N-SH_TEAD4(TFsFromGheorghe)MACS_ENCSR000BPT_A549_ELF1 (TFsFromGheorghe)	19749	14103	15083
MACS_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	24361	26249	22050
BCP_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	19394	14352	15222
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000EFC_IMR-90_CHD1 (TFsFromGheorghe)	22293	18909	19385
MACS_ENCSR000BIO_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BSW_Ishikawa_TEAD4 (TFsFromGheorghe)	4979	32205	32047
BCP_ENCSR398YBM_A549_CHD1(TFsFromGheorghe)MACS_ENCSR000BRF_A549_JUND (TFsFromGheorghe)	31472	30509	33195
BCP_ENCSR000BGK_HepG2_JUND(TFsFromGheorghe)BCP_ENCSR000BSR_MCF-7_CEBPB (TFsFromGheorghe)	22519	15534	16841
MACS_ENCSR000BSQ_Ishikawa_EGR1(TFsFromGheorghe)MACS_ENCSR555PBN_MCF-7_MAFK (TFsFromGheorghe)	7400	1894	1831
BCP_ENCSR000BGK_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	30041	27245	26938
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	11622	22071	18128
MACS_ENCSR000EHZ_SK-N-SH_NRF1(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	23327	31212	24424
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)BCP_ENCSR000DYS_GM12878_JUND (TFsFromGheorghe)	30072	35565	31900
MACS_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	33195	29187	34522
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR000DOO_MCF_10A_FOS (TFsFromGheorghe)	7341	14334	15680
BCP_ENCSR177HDZ_HepG2_FOS(TFsFromGheorghe)MACS_ENCSR000BSD_HCT116_CEBPB (TFsFromGheorghe)	24797	23355	22200
BCP_ENCSR000EZK_HeLa-S3_STAT1(TFsFromGheorghe)MACS_ENCSR000DYI_A549_CEBPB (TFsFromGheorghe)	16257	10283	15411
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)BCP_ENCSR000DYI_A549_CEBPB (TFsFromGheorghe)	5263	10290	7952
BCP_ENCSR000ECK_HeLa-S3_MAFK(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	24477	16532	20969
MACS_ENCSR000BMB_GM12878_ELF1(TFsFromGheorghe)MACS_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	6929	29185	33024
BCP_ENCSR000BSA_HCT116_JUND(TFsFromGheorghe)MACS_ENCSR000BSQ_Ishikawa_EGR1 (TFsFromGheorghe)	12576	10131	8657
BCP_ENCSR904YPP_GM12878_NR3C1(TFsFromGheorghe)MACS_ENCSR332EYT_GM12878_STAT1 (TFsFromGheorghe)	32103	34249	31989
MACS_ENCSR000EGG_K562_RCOR1(TFsFromGheorghe)MACS_ENCSR000EUM_GM12878_YY1 (TFsFromGheorghe)	4398	11238	14216
MACS_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR000EEE_HepG2_CEBPB (TFsFromGheorghe)	17178	702	2339
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	15210	3897	5948
BCP_ENCSR517QHU_GM12878_BHLHE40(TFsFromGheorghe)MACS_ENCSR000BLZ_SK-N-SH_YY1 (TFsFromGheorghe)	30109	17378	23747
MACS_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR000BSW_Ishikawa_TEAD4 (TFsFromGheorghe)	18189	28888	30946
BCP_ENCSR000EIB_SK-N-SH_JUND(TFsFromGheorghe)BCP_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	17615	6476	10523
MACS_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR000EFG_IMR-90_RCOR1 (TFsFromGheorghe)	32764	20395	28597
MACS_ENCSR000EGV_K562_BHLHE40(TFsFromGheorghe)MACS_ENCSR994YLZ_liver_YY1 (TFsFromGheorghe)	33892	15872	29597
BCP_ENCSR000EFH_IMR-90_MAFK(TFsFromGheorghe)MACS_ENCSR000EYZ_GM12878_FOS (TFsFromGheorghe)	2900	4162	2816
BCP_ENCSR000BLT_GM12892_YY1(TFsFromGheorghe)BCP_ENCSR000EHJ_K562_STAT1 (TFsFromGheorghe)	10680	24298	17083
BCP_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR555PBN_MCF-7_MAFK (TFsFromGheorghe)	4326	401	450
BCP_ENCSR382MOM_liver_YY1(TFsFromGheorghe)MACS_ENCSR000EDH_HeLa-S3_JUND (TFsFromGheorghe)	24646	8259	15164
BCP_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	17654	15926	13991
BCP_ENCSR000EBU_H1-hESC_CHD1(TFsFromGheorghe)BCP_ENCSR000EFC_IMR-90_CHD1 (TFsFromGheorghe)	27884	32743	27535
BCP_ENCSR000FAU_K562_STAT1(TFsFromGheorghe)MACS_ENCSR000EGG_K562_RCOR1 (TFsFromGheorghe)	4078	21602	25749
BCP_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)MACS_ENCSR000ECK_HeLa-S3_MAFK (TFsFromGheorghe)	21588	17164	17053
BCP_ENCSR000BMH_K562_YY1(TFsFromGheorghe)MACS_ENCSR000BIO_A549_NR3C1 (TFsFromGheorghe)	4558	31542	20106
BCP_ENCSR000BSK_SK-N-SH_JUND(TFsFromGheorghe)BCP_ENCSR000BTT_Ishikawa_CEBPB (TFsFromGheorghe)	18223	13682	13562
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000BKD_H1-hESC_YY1 (TFsFromGheorghe)	4542	23656	23517
BCP_ENCSR000DON_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000EDA_HeLa-S3_CEBPB (TFsFromGheorghe)	32576	14621	29860
BCP_ENCSR000DOO_MCF_10A_FOS(TFsFromGheorghe)BCP_ENCSR000ECC_H1-hESC_NRF1 (TFsFromGheorghe)	1260	547	501
BCP_ENCSR000BMH_K562_YY1(TFsFromGheorghe)MACS_ENCSR000EHZ_SK-N-SH_NRF1 (TFsFromGheorghe)	26089	24024	22640
MACS_ENCSR000BPT_A549_ELF1(TFsFromGheorghe)MACS_ENCSR000DYI_A549_CEBPB (TFsFromGheorghe)	27268	11599	20680
BCP_ENCSR494TDU_K562_NRF1(TFsFromGheorghe)MACS_ENCSR000BKC_H1-hESC_ATF3 (TFsFromGheorghe)	27828	28505	26494
BCP_ENCSR000BJY_GM12878_ATF3(TFsFromGheorghe)BCP_ENCSR000EHJ_K562_STAT1 (TFsFromGheorghe)	13809	32805	17982
BCP_ENCSR000BVH_HCT116_ELF1(TFsFromGheorghe)BCP_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	16278	29658	19725
BCP_ENCSR000EEI_HepG2_JUND(TFsFromGheorghe)BCP_ENCSR994YLZ_liver_YY1 (TFsFromGheorghe)	17966	9272	11359
MACS_ENCSR000DKB_K562_FOS(TFsFromGheorghe)MACS_ENCSR000EGG_K562_RCOR1 (TFsFromGheorghe)	32439	20376	33073
BCP_ENCSR000EHH_K562_NRF1(TFsFromGheorghe)MACS_ENCSR000DZM_GM12878_STAT1 (TFsFromGheorghe)	243	35804	18734
BCP_ENCSR000BQI_HepG2_CEBPB(TFsFromGheorghe)BCP_ENCSR000BRF_A549_JUND (TFsFromGheorghe)	23400	19202	19439
BCP_ENCSR382MOM_liver_YY1(TFsFromGheorghe)BCP_ENCSR555PBN_MCF-7_MAFK (TFsFromGheorghe)	7772	1871	2092
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000ECK_HeLa-S3_MAFK (TFsFromGheorghe)	16438	9871	11017
BCP_ENCSR681NOM_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR000DYV_GM12878_MAFK (TFsFromGheorghe)	1303	5171	1372
MACS_ENCSR000BRF_A549_JUND(TFsFromGheorghe)MACS_ENCSR000DON_MCF_10A_FOS (TFsFromGheorghe)	34088	18197	30700
BCP_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)BCP_ENCSR000FAU_K562_STAT1 (TFsFromGheorghe)	4756	28390	9946
MACS_ENCSR000ECK_HeLa-S3_MAFK(TFsFromGheorghe)MACS_ENCSR998AJK_K562_NRF1 (TFsFromGheorghe)	24727	12585	18822
BCP_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR000EFM_IMR-90_CEBPB (TFsFromGheorghe)	14148	8897	17639
MACS_ENCSR000BTA_SK-N-SH_ELF1(TFsFromGheorghe)MACS_ENCSR000EHZ_SK-N-SH_NRF1 (TFsFromGheorghe)	33962	33926	33160
MACS_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BPM_A549_YY1 (TFsFromGheorghe)	33575	32353	35587
BCP_ENCSR135ANT_MCF-7_NRF1(TFsFromGheorghe)MACS_ENCSR000EEV_HepG2_NR3C1 (TFsFromGheorghe)	6499	30391	17268
BCP_ENCSR000EDH_HeLa-S3_JUND(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	22816	11693	17729
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000EIB_SK-N-SH_JUND (TFsFromGheorghe)	2418	16483	11381
MACS_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR000EFC_IMR-90_CHD1 (TFsFromGheorghe)	35005	22114	33622
BCP_ENCSR000DYV_GM12878_MAFK(TFsFromGheorghe)MACS_ENCSR000BSS_MCF-7_ELF1 (TFsFromGheorghe)	9716	10217	10194
BCP_ENCSR000DZC_GM12878_RCOR1(TFsFromGheorghe)MACS_ENCSR000DZJ_GM12878_BHLHE40 (TFsFromGheorghe)	34037	34141	33869
MACS_ENCSR000BRZ_HCT116_EGR1(TFsFromGheorghe)MACS_ENCSR853ADA_HepG2_NRF1 (TFsFromGheorghe)	33662	29321	32637
BCP_ENCSR000EEX_HepG2_CEBPB(TFsFromGheorghe)MACS_ENCSR205FOW_liver_ATF3 (TFsFromGheorghe)	32244	27315	29963
BCP_ENCSR000BPT_A549_ELF1(TFsFromGheorghe)BCP_ENCSR000DYI_A549_CEBPB (TFsFromGheorghe)	16023	10381	11697
MACS_ENCSR000DZJ_GM12878_BHLHE40(TFsFromGheorghe)MACS_ENCSR000EUM_GM12878_YY1 (TFsFromGheorghe)	7309	18900	12420
MACS_ENCSR000EGG_K562_RCOR1(TFsFromGheorghe)MACS_ENCSR000EGN_K562_JUND (TFsFromGheorghe)	36027	23975	35886
BCP_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)BCP_ENCSR000DOP_MCF_10A_FOS (TFsFromGheorghe)	13416	5973	7923
MACS_ENCSR000BUG_HCT116_ATF3(TFsFromGheorghe)MACS_ENCSR000DKB_K562_FOS (TFsFromGheorghe)	25604	32940	30185
MACS_ENCSR000BRF_A549_JUND(TFsFromGheorghe)MACS_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	34148	30644	34276
BCP_ENCSR000BMB_GM12878_ELF1(TFsFromGheorghe)MACS_ENCSR000BKD_H1-hESC_YY1 (TFsFromGheorghe)	31169	18678	28336
BCP_ENCSR000BNX_HCT116_YY1(TFsFromGheorghe)BCP_ENCSR000EFG_IMR-90_RCOR1 (TFsFromGheorghe)	26818	22969	22816
MACS_ENCSR000BSW_Ishikawa_TEAD4(TFsFromGheorghe)MACS_ENCSR998AJK_K562_NRF1 (TFsFromGheorghe)	34109	16989	29691
MACS_ENCSR000DYI_A549_CEBPB(TFsFromGheorghe)MACS_ENCSR994YLZ_liver_YY1 (TFsFromGheorghe)	30123	6522	18110
BCP_ENCSR000EBU_H1-hESC_CHD1(TFsFromGheorghe)BCP_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	3416	1473	1180
BCP_ENCSR000AQD_K562_CHD1(TFsFromGheorghe)BCP_ENCSR000BKD_H1-hESC_YY1 (TFsFromGheorghe)	22273	15310	17090
MACS_ENCSR000BJC_Ishikawa_NR3C1(TFsFromGheorghe)MACS_ENCSR332EYT_GM12878_STAT1 (TFsFromGheorghe)	28854	22508	27738
BCP_ENCSR000BMD_K562_ELF1(TFsFromGheorghe)BCP_ENCSR398YBM_A549_CHD1 (TFsFromGheorghe)	19477	19741	17097
MACS_ENCSR000BNU_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	28736	17300	27320
BCP_ENCSR000EUM_GM12878_YY1(TFsFromGheorghe)MACS_ENCSR000BJA_H1-hESC_EGR1 (TFsFromGheorghe)	3067	10187	4494
BCP_ENCSR000BUQ_SK-N-SH_TEAD4(TFsFromGheorghe)MACS_ENCSR000DYV_GM12878_MAFK (TFsFromGheorghe)	1404	2537	1168
MACS_ENCSR000BNU_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	31131	33258	31593
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)BCP_ENCSR000EYV_GM12878_JUND (TFsFromGheorghe)	691	569	363
BCP_ENCSR000EDA_HeLa-S3_CEBPB(TFsFromGheorghe)MACS_ENCSR000BRZ_HCT116_EGR1 (TFsFromGheorghe)	22027	13483	17264
MACS_ENCSR000BSS_MCF-7_ELF1(TFsFromGheorghe)MACS_ENCSR994YLZ_liver_YY1 (TFsFromGheorghe)	34996	20580	33529
BCP_ENCSR000EZK_HeLa-S3_STAT1(TFsFromGheorghe)MACS_ENCSR000EEI_HepG2_JUND (TFsFromGheorghe)	15416	9477	14134
BCP_ENCSR000BPT_A549_ELF1(TFsFromGheorghe)MACS_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	19153	11793	18421
BCP_ENCSR000BRP_HepG2_TEAD4(TFsFromGheorghe)MACS_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	601	4004	1224
BCP_ENCSR000EEI_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000BGK_HepG2_JUND (TFsFromGheorghe)	33935	22112	31216
BCP_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR000EHH_K562_NRF1 (TFsFromGheorghe)	7913	6808	5238
BCP_ENCSR000FAU_K562_STAT1(TFsFromGheorghe)MACS_ENCSR000EZK_HeLa-S3_STAT1 (TFsFromGheorghe)	5118	24699	18283
BCP_ENCSR000BKU_K562_YY1(TFsFromGheorghe)BCP_ENCSR000EGN_K562_JUND (TFsFromGheorghe)	33201	26941	31838
BCP_ENCSR000DZJ_GM12878_BHLHE40(TFsFromGheorghe)MACS_ENCSR000BIO_A549_NR3C1 (TFsFromGheorghe)	2237	24270	14482
BCP_ENCSR000DOO_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000BLB_Ishikawa_NR3C1 (TFsFromGheorghe)	9234	5003	5399
MACS_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR000EDJ_HeLa-S3_NRF1 (TFsFromGheorghe)	8917	11290	12348
BCP_ENCSR000BVJ_HCT116_TEAD4(TFsFromGheorghe)MACS_ENCSR000DON_MCF_10A_FOS (TFsFromGheorghe)	17333	25450	29979
BCP_ENCSR000EBZ_H1-hESC_JUND(TFsFromGheorghe)BCP_ENCSR000EWF_K562_YY1 (TFsFromGheorghe)	19705	25947	20082
BCP_ENCSR000EWF_K562_YY1(TFsFromGheorghe)MACS_ENCSR000AQK_H1-hESC_CHD1 (TFsFromGheorghe)	15798	18903	22533
MACS_ENCSR000EGV_K562_BHLHE40(TFsFromGheorghe)MACS_ENCSR000EGX_K562_MAFK (TFsFromGheorghe)	32739	21647	29391
MACS_ENCSR000BSY_Ishikawa_YY1(TFsFromGheorghe)MACS_ENCSR000DYS_GM12878_JUND (TFsFromGheorghe)	22853	23557	26107
MACS_ENCSR000BRY_H1-hESC_TEAD4(TFsFromGheorghe)MACS_ENCSR000DYS_GM12878_JUND (TFsFromGheorghe)	14249	13506	16397
BCP_ENCSR000BUO_MCF-7_TEAD4(TFsFromGheorghe)MACS_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	6999	4919	8594
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR494TDU_K562_NRF1 (TFsFromGheorghe)	27698	28374	32355
BCP_ENCSR000BUG_HCT116_ATF3(TFsFromGheorghe)BCP_ENCSR000EDZ_HepG2_MAFK (TFsFromGheorghe)	3812	9712	6488
MACS_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)MACS_ENCSR475SOC_MCF-7_ELF1 (TFsFromGheorghe)	29207	34258	35665
BCP_ENCSR000BRP_HepG2_TEAD4(TFsFromGheorghe)MACS_ENCSR000DYJ_A549_BHLHE40 (TFsFromGheorghe)	11257	19882	12254
BCP_ENCSR000EGX_K562_MAFK(TFsFromGheorghe)MACS_ENCSR000DJX_K562_JUND (TFsFromGheorghe)	31911	19184	30655
BCP_ENCSR541WQI_A549_MAFK(TFsFromGheorghe)MACS_ENCSR000EHZ_SK-N-SH_NRF1 (TFsFromGheorghe)	5579	813	1086
BCP_ENCSR332EYT_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000BSW_Ishikawa_TEAD4 (TFsFromGheorghe)	16928	12710	15879
BCP_ENCSR000EEX_HepG2_CEBPB(TFsFromGheorghe)MACS_ENCSR000BRK_K562_TEAD4 (TFsFromGheorghe)	20385	9731	18254
BCP_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	9160	34360	16233
BCP_ENCSR000DYS_GM12878_JUND(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	21811	24351	26515
BCP_ENCSR000EUM_GM12878_YY1(TFsFromGheorghe)MACS_ENCSR000FAU_K562_STAT1 (TFsFromGheorghe)	3488	18464	5755
BCP_ENCSR000BGK_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000BNU_K562_ATF3 (TFsFromGheorghe)	33508	30429	31818
BCP_ENCSR000DYJ_A549_BHLHE40(TFsFromGheorghe)MACS_ENCSR000DYS_GM12878_JUND (TFsFromGheorghe)	23311	34478	26026
BCP_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR000EGC_K562_RCOR1 (TFsFromGheorghe)	13646	6382	7003
BCP_ENCSR000EGG_K562_RCOR1(TFsFromGheorghe)BCP_ENCSR332EYT_GM12878_STAT1 (TFsFromGheorghe)	16447	12379	14820
BCP_ENCSR000DZJ_GM12878_BHLHE40(TFsFromGheorghe)MACS_ENCSR000DZO_GM12878_NRF1 (TFsFromGheorghe)	25118	31269	28326
BCP_ENCSR000BRK_K562_TEAD4(TFsFromGheorghe)BCP_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	11284	21541	17621
MACS_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)MACS_ENCSR391JII_MCF-7_RCOR1 (TFsFromGheorghe)	25816	18947	20410
MACS_ENCSR000EBV_H1-hESC_CEBPB(TFsFromGheorghe)MACS_ENCSR000EDZ_HepG2_MAFK (TFsFromGheorghe)	12160	1572	2747
BCP_ENCSR000BRZ_HCT116_EGR1(TFsFromGheorghe)MACS_ENCSR116TFA_A549_NR3C1 (TFsFromGheorghe)	23897	30217	24519
BCP_ENCSR000DYJ_A549_BHLHE40(TFsFromGheorghe)MACS_ENCSR000EBU_H1-hESC_CHD1 (TFsFromGheorghe)	16711	29974	20663
MACS_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	35223	20812	33596
MACS_ENCSR000BSK_SK-N-SH_JUND(TFsFromGheorghe)MACS_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	35678	21757	35117
BCP_ENCSR000EFM_IMR-90_CEBPB(TFsFromGheorghe)BCP_ENCSR000EZK_HeLa-S3_STAT1 (TFsFromGheorghe)	12754	7067	9634
BCP_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)BCP_ENCSR555PBN_MCF-7_MAFK (TFsFromGheorghe)	4720	1920	1354
BCP_ENCSR000AQD_K562_CHD1(TFsFromGheorghe)MACS_ENCSR000DKB_K562_FOS (TFsFromGheorghe)	8674	2850	2774
BCP_ENCSR000EYZ_GM12878_FOS(TFsFromGheorghe)MACS_ENCSR000DZJ_GM12878_BHLHE40 (TFsFromGheorghe)	14276	32925	25794
BCP_ENCSR332EYT_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000BUD_A549_TEAD4 (TFsFromGheorghe)	11525	8499	7690
BCP_ENCSR000EIB_SK-N-SH_JUND(TFsFromGheorghe)MACS_ENCSR000EYZ_GM12878_FOS (TFsFromGheorghe)	5292	9931	6223
MACS_ENCSR000BMQ_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR975SSR_K562_ELF1 (TFsFromGheorghe)	33188	32621	32812
BCP_ENCSR000EFH_IMR-90_MAFK(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	11650	5839	6352
MACS_ENCSR000BNE_K562_EGR1(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	17384	22960	23786
MACS_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)MACS_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	1344	10468	5008
BCP_ENCSR000BUX_MCF-7_EGR1(TFsFromGheorghe)MACS_ENCSR904YPP_GM12878_NR3C1 (TFsFromGheorghe)	27016	30869	28173
MACS_ENCSR000DYJ_A549_BHLHE40(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	20221	32639	21636
BCP_ENCSR000BSQ_Ishikawa_EGR1(TFsFromGheorghe)MACS_ENCSR000DZE_GM12878_CHD1 (TFsFromGheorghe)	13674	32068	20223
BCP_ENCSR000BMQ_GM12878_EGR1(TFsFromGheorghe)BCP_ENCSR000ECM_HeLa-S3_RCOR1 (TFsFromGheorghe)	26990	25121	23665
BCP_ENCSR000BRF_A549_JUND(TFsFromGheorghe)MACS_ENCSR000BLT_GM12892_YY1 (TFsFromGheorghe)	33663	23640	31664
MACS_ENCSR000BUO_MCF-7_TEAD4(TFsFromGheorghe)MACS_ENCSR000EIB_SK-N-SH_JUND (TFsFromGheorghe)	23219	17797	19917
MACS_ENCSR000DOT_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000DZO_GM12878_NRF1 (TFsFromGheorghe)	5689	5522	6748
BCP_ENCSR000BJY_GM12878_ATF3(TFsFromGheorghe)BCP_ENCSR000FAI_K562_FOS (TFsFromGheorghe)	24571	34799	27520
BCP_ENCSR000BSK_SK-N-SH_JUND(TFsFromGheorghe)BCP_ENCSR000DZO_GM12878_NRF1 (TFsFromGheorghe)	2109	746	585
BCP_ENCSR000EDJ_HeLa-S3_NRF1(TFsFromGheorghe)BCP_ENCSR480LIS_liver_ATF3 (TFsFromGheorghe)	3828	9247	4675
BCP_ENCSR000EUM_GM12878_YY1(TFsFromGheorghe)MACS_ENCSR000BRX_GM12878_CEBPB (TFsFromGheorghe)	6583	21582	9823
MACS_ENCSR000BMQ_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	34854	28024	34301
BCP_ENCSR000EBS_H1-hESC_MAFK(TFsFromGheorghe)MACS_ENCSR382MOM_liver_YY1 (TFsFromGheorghe)	7774	2969	5960
MACS_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	16419	497	1600
MACS_ENCSR000BNX_HCT116_YY1(TFsFromGheorghe)MACS_ENCSR000BVO_T47D_JUND (TFsFromGheorghe)	18166	12067	15727
MACS_ENCSR000BIO_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BUD_A549_TEAD4 (TFsFromGheorghe)	9769	35245	32779
BCP_ENCSR000ECC_H1-hESC_NRF1(TFsFromGheorghe)MACS_ENCSR475SOC_MCF-7_ELF1 (TFsFromGheorghe)	26000	35029	27281
BCP_ENCSR000BVH_HCT116_ELF1(TFsFromGheorghe)MACS_ENCSR205FOW_liver_ATF3 (TFsFromGheorghe)	10195	19925	15761
BCP_ENCSR000EDJ_HeLa-S3_NRF1(TFsFromGheorghe)BCP_ENCSR517QHU_GM12878_BHLHE40 (TFsFromGheorghe)	11667	24415	19881
MACS_ENCSR000BUD_A549_TEAD4(TFsFromGheorghe)MACS_ENCSR000EHZ_SK-N-SH_NRF1 (TFsFromGheorghe)	17544	13556	13340
BCP_ENCSR000DZJ_GM12878_BHLHE40(TFsFromGheorghe)BCP_ENCSR000EBU_H1-hESC_CHD1 (TFsFromGheorghe)	15314	18106	15426
MACS_ENCSR000BUO_MCF-7_TEAD4(TFsFromGheorghe)MACS_ENCSR000DZM_GM12878_STAT1 (TFsFromGheorghe)	250	35840	31848
BCP_ENCSR000FAV_K562_STAT1(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	842	7289	2539
BCP_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS(TFsFromGheorghe)MACS_ENCSR000FAU_K562_STAT1 (TFsFromGheorghe)	2691	8771	5348
BCP_ENCSR000BUQ_SK-N-SH_TEAD4(TFsFromGheorghe)MACS_ENCSR000BJA_H1-hESC_EGR1 (TFsFromGheorghe)	12251	10409	8440
BCP_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)MACS_ENCSR000BVO_T47D_JUND (TFsFromGheorghe)	19381	21961	17350
MACS_ENCSR000DZC_GM12878_RCOR1(TFsFromGheorghe)MACS_ENCSR000EBZ_H1-hESC_JUND (TFsFromGheorghe)	6296	28035	20349
BCP_ENCSR618ICR_A549_RCOR1(TFsFromGheorghe)MACS_ENCSR000EDA_HeLa-S3_CEBPB (TFsFromGheorghe)	4109	15765	20148
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)BCP_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	7402	30549	17771
BCP_ENCSR000DYI_A549_CEBPB(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	35280	24954	34563
MACS_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)MACS_ENCSR000BPM_A549_YY1 (TFsFromGheorghe)	35848	24744	35497
