Pair	jaccard	forbes	tetra
MACS_ENCSR000EEV_HepG2_NR3C1(TFsFromGheorghe)MACS_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	723	6568	7282
BCP_ENCSR000DON_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000BSS_MCF-7_ELF1 (TFsFromGheorghe)	23957	8934	14610
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR853ADA_HepG2_NRF1 (TFsFromGheorghe)	29587	30863	31704
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000BNP_GM12878_YY1 (TFsFromGheorghe)	34274	26661	32209
BCP_ENCSR000BLB_Ishikawa_NR3C1(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	21243	32820	22402
BCP_ENCSR000EDA_HeLa-S3_CEBPB(TFsFromGheorghe)MACS_ENCSR000BIO_A549_NR3C1 (TFsFromGheorghe)	932	15051	10049
BCP_ENCSR000BTT_Ishikawa_CEBPB(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	26952	20030	24606
MACS_ENCSR000BPM_A549_YY1(TFsFromGheorghe)MACS_ENCSR205FOW_liver_ATF3 (TFsFromGheorghe)	28364	13904	21609
BCP_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR000BJT_A549_NR3C1 (TFsFromGheorghe)	26830	35651	33243
BCP_ENCSR332EYT_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000BRY_H1-hESC_TEAD4 (TFsFromGheorghe)	15591	11028	14626
BCP_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)BCP_ENCSR000BUB_A549_CEBPB (TFsFromGheorghe)	32927	33563	32854
BCP_ENCSR000EDZ_HepG2_MAFK(TFsFromGheorghe)MACS_ENCSR000BTT_Ishikawa_CEBPB (TFsFromGheorghe)	11139	2133	2892
BCP_ENCSR000BNP_GM12878_YY1(TFsFromGheorghe)BCP_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	30627	25335	27814
BCP_ENCSR000BNT_HepG2_YY1(TFsFromGheorghe)BCP_ENCSR000BPT_A549_ELF1 (TFsFromGheorghe)	32476	31442	31029
BCP_ENCSR391JII_MCF-7_RCOR1(TFsFromGheorghe)MACS_ENCSR000BMQ_GM12878_EGR1 (TFsFromGheorghe)	13562	7509	7754
MACS_ENCSR000BRF_A549_JUND(TFsFromGheorghe)MACS_ENCSR904YPP_GM12878_NR3C1 (TFsFromGheorghe)	35032	29751	34532
BCP_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR998AJK_K562_NRF1 (TFsFromGheorghe)	25807	22359	27615
MACS_ENCSR000BRK_K562_TEAD4(TFsFromGheorghe)MACS_ENCSR000EEB_HepG2_MAFK (TFsFromGheorghe)	21481	1264	5138
BCP_ENCSR000BVJ_HCT116_TEAD4(TFsFromGheorghe)BCP_ENCSR000DOG_K562_ATF3 (TFsFromGheorghe)	866	8247	1948
BCP_ENCSR000BTT_Ishikawa_CEBPB(TFsFromGheorghe)BCP_ENCSR000EDZ_HepG2_MAFK (TFsFromGheorghe)	7522	1962	2042
MACS_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)MACS_ENCSR000EGC_K562_RCOR1 (TFsFromGheorghe)	19029	11699	12903
MACS_ENCSR475SOC_MCF-7_ELF1(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	21735	33635	23172
BCP_ENCSR000BLZ_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR000EEI_HepG2_JUND (TFsFromGheorghe)	22990	8782	15907
BCP_ENCSR000EZE_HeLa-S3_FOS(TFsFromGheorghe)MACS_ENCSR000BKP_H1-hESC_JUND (TFsFromGheorghe)	19935	15034	15668
BCP_ENCSR000BRP_HepG2_TEAD4(TFsFromGheorghe)MACS_ENCSR000DZO_GM12878_NRF1 (TFsFromGheorghe)	964	426	334
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000EBU_H1-hESC_CHD1 (TFsFromGheorghe)	1508	11923	4520
MACS_ENCSR000BKJ_GM12891_YY1(TFsFromGheorghe)MACS_ENCSR000EGN_K562_JUND (TFsFromGheorghe)	35531	22291	34895
BCP_ENCSR000EEI_HepG2_JUND(TFsFromGheorghe)BCP_ENCSR382MOM_liver_YY1 (TFsFromGheorghe)	22958	10052	14559
BCP_ENCSR000BUB_A549_CEBPB(TFsFromGheorghe)MACS_ENCSR000DOG_K562_ATF3 (TFsFromGheorghe)	3498	12343	6906
BCP_ENCSR000EEI_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000BSR_MCF-7_CEBPB (TFsFromGheorghe)	27605	11976	19687
MACS_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR116TFA_A549_NR3C1 (TFsFromGheorghe)	18405	10010	14218
BCP_ENCSR000EDJ_HeLa-S3_NRF1(TFsFromGheorghe)MACS_ENCSR000EFH_IMR-90_MAFK (TFsFromGheorghe)	3144	6495	7234
BCP_ENCSR000BTA_SK-N-SH_ELF1(TFsFromGheorghe)MACS_ENCSR000EGX_K562_MAFK (TFsFromGheorghe)	16434	20426	17823
BCP_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)BCP_ENCSR000EEX_HepG2_CEBPB (TFsFromGheorghe)	29539	27372	26327
BCP_ENCSR000BVO_T47D_JUND(TFsFromGheorghe)BCP_ENCSR000DOG_K562_ATF3 (TFsFromGheorghe)	1393	11473	3614
BCP_ENCSR000EZK_HeLa-S3_STAT1(TFsFromGheorghe)MACS_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	17156	21678	16063
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)BCP_ENCSR555PBN_MCF-7_MAFK (TFsFromGheorghe)	820	6691	2417
BCP_ENCSR177HDZ_HepG2_FOS(TFsFromGheorghe)MACS_ENCSR000BVO_T47D_JUND (TFsFromGheorghe)	20151	21463	17528
BCP_ENCSR000DOO_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000BTA_SK-N-SH_ELF1 (TFsFromGheorghe)	18000	11105	13634
MACS_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000EGG_K562_RCOR1 (TFsFromGheorghe)	9451	25576	33209
MACS_ENCSR000BUB_A549_CEBPB(TFsFromGheorghe)MACS_ENCSR000DZE_GM12878_CHD1 (TFsFromGheorghe)	2969	9949	8380
BCP_ENCSR000BMZ_HepG2_ELF1(TFsFromGheorghe)BCP_ENCSR000EFH_IMR-90_MAFK (TFsFromGheorghe)	9167	2903	3167
BCP_ENCSR000ECC_H1-hESC_NRF1(TFsFromGheorghe)MACS_ENCSR000BSM_SK-N-SH_YY1 (TFsFromGheorghe)	20600	28850	26370
MACS_ENCSR000DYV_GM12878_MAFK(TFsFromGheorghe)MACS_ENCSR000EBU_H1-hESC_CHD1 (TFsFromGheorghe)	1064	1719	769
BCP_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)BCP_ENCSR494TDU_K562_NRF1 (TFsFromGheorghe)	18677	11405	12513
BCP_ENCSR000BNT_HepG2_YY1(TFsFromGheorghe)BCP_ENCSR000BUG_HCT116_ATF3 (TFsFromGheorghe)	3736	9794	5316
BCP_ENCSR837EYC_K562_NRF1(TFsFromGheorghe)MACS_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	31297	27114	32077
BCP_ENCSR000BUG_HCT116_ATF3(TFsFromGheorghe)MACS_ENCSR000EEB_HepG2_MAFK (TFsFromGheorghe)	3214	7709	8080
