trackName;COLOR;StandardizedName;FNAME;GROUP;Target;Auto Use Train (Core)  94;TYPE;Cell_TissueType;PrimaryImmuneCells;Brain; Tcells;Bcells ;NK;Monocytes;Hematop;thymus;CD4 ;CD8 ;Th17;T-reg;Th1 ;Th2;Primary;ImmuneCells
E032-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary B cells from peripheral blood.;E032-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary B cells from peripheral blood.;x;.;.;x;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.hotspot.broad.bed;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.hotspot.fdr0.01.broad.bed;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E034-DNase.hotspot.broad.bed;#55A354;Primary T cells fromperipheralblood.;E034-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells fromperipheralblood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E034-DNase.hotspot.fdr0.01.broad.bed;#55A354;Primary T cells fromperipheralblood.;E034-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells fromperipheralblood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E046-DNase.hotspot.broad.bed;#678C69;Primary Natural Killer cells fromperipheralblood.;E046-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary Natural Killer cells fromperipheralblood.;x;.;.;.;x;.;.;.;.;.;.;.;.;.;x;x
E046-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary Natural Killer cells fromperipheralblood.;E046-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary Natural Killer cells fromperipheralblood.;x;.;.;.;x;.;.;.;.;.;.;.;.;.;x;x
E050-DNase.hotspot.broad.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Female.;E050-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Female.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E050-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Female.;E050-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Female.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E051-DNase.hotspot.broad.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Male.;E051-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Male.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E051-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Male.;E051-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Male.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E055-DNase.hotspot.broad.bed;#FF9D0C;Foreskin Fibroblast Primary Cells skin01.;E055-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Fibroblast Primary Cells skin01.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E055-DNase.hotspot.fdr0.01.broad.bed;#FF9D0C;Foreskin Fibroblast Primary Cells skin01.;E055-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Fibroblast Primary Cells skin01.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E056-DNase.hotspot.broad.bed;#FF9D0C;Foreskin Fibroblast Primary Cells skin02.;E056-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Fibroblast Primary Cells skin02.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E056-DNase.hotspot.fdr0.01.broad.bed;#FF9D0C;Foreskin Fibroblast Primary Cells skin02.;E056-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Fibroblast Primary Cells skin02.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E057-DNase.hotspot.broad.bed;#FF9D0C;Foreskin Keratinocyte Primary Cells skin02.;E057-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Foreskin Keratinocyte Primary Cells skin02.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E057-DNase.hotspot.fdr0.01.broad.bed;#FF9D0C;Foreskin Keratinocyte Primary Cells skin02.;E057-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Foreskin Keratinocyte Primary Cells skin02.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E059-DNase.hotspot.broad.bed;#FF9D0C;Foreskin Melanocyte Primary Cells skin01.;E059-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Melanocyte Primary Cells skin01.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E059-DNase.hotspot.fdr0.01.broad.bed;#FF9D0C;Foreskin Melanocyte Primary Cells skin01.;E059-DNase.tagAlign.gz;Epithelial;DNase;1;PrimaryCulture;Foreskin Melanocyte Primary Cells skin01.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E080-DNase.hotspot.broad.bed;#999999;Fetal Adrenal Gland.;E080-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Adrenal Gland.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E080-DNase.hotspot.fdr0.01.broad.bed;#999999;Fetal Adrenal Gland.;E080-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Adrenal Gland.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E081-DNase.hotspot.broad.bed;#C5912B;Fetal Brain Male.;E081-DNase.tagAlign.gz;Brain;DNase;0;PrimaryTissue;Fetal Brain Male.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E081-DNase.hotspot.fdr0.01.broad.bed;#C5912B;Fetal Brain Male.;E081-DNase.tagAlign.gz;Brain;DNase;0;PrimaryTissue;Fetal Brain Male.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E082-DNase.hotspot.broad.bed;#C5912B;Fetal Brain Female.;E082-DNase.tagAlign.gz;Brain;DNase;0;PrimaryTissue;Fetal Brain Female.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E082-DNase.hotspot.fdr0.01.broad.bed;#C5912B;Fetal Brain Female.;E082-DNase.tagAlign.gz;Brain;DNase;0;PrimaryTissue;Fetal Brain Female.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E083-DNase.hotspot.broad.bed;#D56F80;Fetal Heart.;E083-DNase.tagAlign.gz;Heart;DNase;0;PrimaryTissue;Fetal Heart.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E083-DNase.hotspot.fdr0.01.broad.bed;#D56F80;Fetal Heart.;E083-DNase.tagAlign.gz;Heart;DNase;0;PrimaryTissue;Fetal Heart.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E084-DNase.hotspot.broad.bed;#C58DAA;Fetal Intestine Large.;E084-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Intestine Large.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E084-DNase.hotspot.fdr0.01.broad.bed;#C58DAA;Fetal Intestine Large.;E084-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Intestine Large.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E085-DNase.hotspot.broad.bed;#C58DAA;Fetal Intestine Small.;E085-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Intestine Small.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E085-DNase.hotspot.fdr0.01.broad.bed;#C58DAA;Fetal Intestine Small.;E085-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Intestine Small.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E086-DNase.hotspot.broad.bed;#999999;Fetal Kidney.;E086-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Kidney.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E086-DNase.hotspot.fdr0.01.broad.bed;#999999;Fetal Kidney.;E086-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Kidney.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E088-DNase.hotspot.broad.bed;#999999;Fetal Lung.;E088-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Lung.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E088-DNase.hotspot.fdr0.01.broad.bed;#999999;Fetal Lung.;E088-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Fetal Lung.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E089-DNase.hotspot.broad.bed;#C2655D;Fetal Muscle Trunk.;E089-DNase.tagAlign.gz;Muscle;DNase;0;PrimaryTissue;Fetal Muscle Trunk.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E089-DNase.hotspot.fdr0.01.broad.bed;#C2655D;Fetal Muscle Trunk.;E089-DNase.tagAlign.gz;Muscle;DNase;0;PrimaryTissue;Fetal Muscle Trunk.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E090-DNase.hotspot.broad.bed;#C2655D;Fetal Muscle Leg.;E090-DNase.tagAlign.gz;Muscle;DNase;1;PrimaryTissue;Fetal Muscle Leg.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E090-DNase.hotspot.fdr0.01.broad.bed;#C2655D;Fetal Muscle Leg.;E090-DNase.tagAlign.gz;Muscle;DNase;1;PrimaryTissue;Fetal Muscle Leg.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E091-DNase.hotspot.broad.bed;#999999;Placenta.;E091-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Placenta.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E091-DNase.hotspot.fdr0.01.broad.bed;#999999;Placenta.;E091-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Placenta.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E092-DNase.hotspot.broad.bed;#C58DAA;Fetal Stomach.;E092-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Stomach.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E092-DNase.hotspot.fdr0.01.broad.bed;#C58DAA;Fetal Stomach.;E092-DNase.tagAlign.gz;Digestive;DNase;1;PrimaryTissue;Fetal Stomach.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E093-DNase.hotspot.broad.bed;#DAB92E;Fetal Thymus.;E093-DNase.tagAlign.gz;Thymus;DNase;0;PrimaryTissue;Fetal Thymus.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;.
E093-DNase.hotspot.fdr0.01.broad.bed;#DAB92E;Fetal Thymus.;E093-DNase.tagAlign.gz;Thymus;DNase;0;PrimaryTissue;Fetal Thymus.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;.
