trackName;COLOR;StandardizedName;FNAME;GROUP;Target;Auto Use Train (Core)  94;TYPE;Cell_TissueType;PrimaryImmuneCells;Brain; Tcells;Bcells ;NK;Monocytes;Hematop;thymus;CD4 ;CD8 ;Th17;T-reg;Th1 ;Th2;Primary;ImmuneCells
E094-DNase.hotspot.broad.bed;#C58DAA;Gastric.;E094-DNase.tagAlign.gz;Digestive;DNase;0;PrimaryTissue;Gastric.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E094-DNase.hotspot.fdr0.01.broad.bed;#C58DAA;Gastric.;E094-DNase.tagAlign.gz;Digestive;DNase;0;PrimaryTissue;Gastric.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E097-DNase.hotspot.broad.bed;#999999;Ovary.;E097-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Ovary.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E097-DNase.hotspot.fdr0.01.broad.bed;#999999;Ovary.;E097-DNase.tagAlign.gz;Other;DNase;1;PrimaryTissue;Ovary.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E098-DNase.hotspot.broad.bed;#999999;Pancreas;E098-DNase.tagAlign.gz;Other;DNase;0;PrimaryTissue;Pancreas.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E098-DNase.hotspot.fdr0.01.broad.bed;#999999;Pancreas;E098-DNase.tagAlign.gz;Other;DNase;0;PrimaryTissue;Pancreas.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E100-DNase.hotspot.broad.bed;#C2655D;Psoas Muscle.;E100-DNase.tagAlign.gz;Muscle;DNase;0;PrimaryTissue;Psoas Muscle.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E100-DNase.hotspot.fdr0.01.broad.bed;#C2655D;Psoas Muscle.;E100-DNase.tagAlign.gz;Muscle;DNase;0;PrimaryTissue;Psoas Muscle.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E109-DNase.hotspot.broad.bed;#C58DAA;Small Intestine.;E109-DNase.tagAlign.gz;Digestive;DNase;0;PrimaryTissue;Small Intestine.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E109-DNase.hotspot.fdr0.01.broad.bed;#C58DAA;Small Intestine.;E109-DNase.tagAlign.gz;Digestive;DNase;0;PrimaryTissue;Small Intestine.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E003-DNase.hotspot.all.peaks.bed;#924965;H1 Cells;E003-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H1 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E003-DNase.macs2.narrowPeak;#924965;H1 Cells;E003-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H1 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E004-DNase.hotspot.all.peaks.bed;#4178AE;H1 BMP4 Derived Mesendoderm Cultured Cells.;E004-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Mesendoderm Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E005-DNase.hotspot.all.peaks.bed;#4178AE;H1 BMP4 Derived Trophoblast Cultured Cells.;E005-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Trophoblast Cultured Cells;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E005-DNase.macs2.narrowPeak;#4178AE;H1 BMP4 Derived Trophoblast Cultured Cells.;E005-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Trophoblast Cultured Cells;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E006-DNase.hotspot.all.peaks.bed;#4178AE;H1 Derived Mesenchymal Stem Cells.;E006-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Mesenchymal Stem Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E007-DNase.hotspot.all.peaks.bed;#4178AE;H1 Derived Neuronal Progenitor Cultured Cells.;E007-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Neuronal Progenitor Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E008-DNase.hotspot.all.peaks.bed;#924965;H9 Cells.;E008-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E008-DNase.macs2.narrowPeak;#924965;H9 Cells.;E008-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E017-DNase.hotspot.all.peaks.bed;#E41A1C;IMR90 fetal lung fibroblasts Cell Line;E017-DNase.tagAlign.gz;IMR90;DNase;1;CellLine;IMR90 fetal lung fibroblasts Cell Line.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E017-DNase.macs2.narrowPeak;#E41A1C;IMR90 fetal lung fibroblasts Cell Line;E017-DNase.tagAlign.gz;IMR90;DNase;1;CellLine;IMR90 fetal lung fibroblasts Cell Line.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E021-DNase.hotspot.all.peaks.bed;#69608A;iPS DF 6.9 Cells.;E021-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 6.9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E021-DNase.macs2.narrowPeak;#69608A;iPS DF 6.9 Cells.;E021-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 6.9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E022-DNase.hotspot.all.peaks.bed;#69608A;iPS DF 19.11 Cells.;E022-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 19.11 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E022-DNase.macs2.narrowPeak;#69608A;iPS DF 19.11 Cells.;E022-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 19.11 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E028-DNase.hotspot.all.peaks.bed;#FF9D0C;Breast variant Human Mammary Epithelial Cells (vHMEC).;E028-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Breast variant Human Mammary Epithelial Cells (vHMEC).;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E028-DNase.macs2.narrowPeak;#FF9D0C;Breast variant Human Mammary Epithelial Cells (vHMEC).;E028-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Breast variant Human Mammary Epithelial Cells (vHMEC).;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E029-DNase.hotspot.all.peaks.bed;#678C69;Primary monocytes fromperipheralblood.;E029-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary monocytes fromperipheralblood.;x;.;.;.;.;x;.;.;.;.;.;.;.;.;x;x
E029-DNase.macs2.narrowPeak;#678C69;Primary monocytes fromperipheralblood.;E029-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary monocytes fromperipheralblood.;x;.;.;.;.;x;.;.;.;.;.;.;.;.;x;x
E032-DNase.hotspot.all.peaks.bed;#678C69;Primary B cells from peripheral blood.;E032-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary B cells from peripheral blood.;x;.;.;x;.;.;.;.;.;.;.;.;.;.;x;x
E032-DNase.macs2.narrowPeak;#678C69;Primary B cells from peripheral blood.;E032-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary B cells from peripheral blood.;x;.;.;x;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.hotspot.all.peaks.bed;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.macs2.narrowPeak;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E034-DNase.hotspot.all.peaks.bed;#55A354;Primary T cells fromperipheralblood.;E034-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells fromperipheralblood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E046-DNase.hotspot.all.peaks.bed;#678C69;Primary Natural Killer cells fromperipheralblood.;E046-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary Natural Killer cells fromperipheralblood.;x;.;.;.;x;.;.;.;.;.;.;.;.;.;x;x
E050-DNase.hotspot.all.peaks.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Female.;E050-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Female.;x;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E050-DNase.macs2.narrowPeak;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Female.;E050-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Female.;x;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
E051-DNase.hotspot.all.peaks.bed;#678C69;Primary hematopoietic stem cells G-CSF-mobilized Male.;E051-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary hematopoietic stem cells G-CSF-mobilized Male.;x;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x
